highway;other_tags;ame_d;ame_g
secondary;"""cycleway:right""=>""lane"",""lanes""=>""2"",""maxspeed""=>""50"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""no"",""motor_vehicle""=>""no""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""designated"",""horse""=>""no"",""layer""=>""1"",""motor_vehicle""=>""no"",""start_date""=>""2020-06-05""";VOIE VERTE;VOIE VERTE
secondary;"""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""parking:lane:right""=>""parallel"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""cycleway""=>""crossing"",""cycleway:surface""=>""asphalt"",""foot""=>""designated"",""footway""=>""crossing"",""footway:surface""=>""asphalt"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""paved""";VOIE VERTE;AUCUN
path;"""bicycle""=>""designated"",""cycleway:surface""=>""concrete"",""foot""=>""designated"",""footway:surface""=>""concrete"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""paved""";VOIE VERTE;AUCUN
cycleway;"""foot""=>""no"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:left""=>""parallel"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""layer""=>""-1"",""tunnel""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
path;NA;PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway:left""=>""lane"",""surface""=>""asphalt""";PISTE CYCLABLE;BANDE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""fine_gravel""";VOIE VERTE;VOIE VERTE
residential;"""cycleway:left""=>""opposite_lane"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""surface""=>""concrete""";VOIE VERTE;VOIE VERTE
residential;"""bicycle""=>""designated"",""cycleway:left""=>""lane"",""cycleway:start_date""=>""2017"",""lit""=>""yes"",""maxspeed""=>""30"",""sidewalk""=>""both"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""shared"",""foot""=>""designated"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway""=>""shared_lane"",""junction""=>""roundabout"",""maxspeed""=>""30""";AUTRE;AUCUN
cycleway;"""bicycle""=>""yes"",""crossing""=>""marked"",""cycleway""=>""crossing""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""cycleway:surface""=>""concrete"",""foot""=>""designated"",""footway""=>""sidewalk"",""footway:surface""=>""concrete"",""segregated""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""footway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lanes""=>""2"",""lit""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing"",""footway:surface""=>""asphalt"",""segregated""=>""yes"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""lcn""=>""yes"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""lcn""=>""yes"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""lit""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
path;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""rcn""=>""yes"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
path;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""no"",""motor_vehicle""=>""no"",""rcn""=>""yes"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
primary_link;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""lanes""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""ref""=>""M 986"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidepath""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""start_date""=>""2014""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""concrete:plates""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""cycleway:surface""=>""concrete"",""foot""=>""designated"",""footway:surface""=>""concrete"",""segregated""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""ref:MMM""=>""test""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway""=>""lane"",""ref""=>""M 27E6""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""segregated""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""bridge""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""motor_vehicle""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:right""=>""lane"",""maxspeed""=>""50""";BANDE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing"",""motor_vehicle""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""description""=>""Voie verte"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""fine_gravel""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""description""=>""Voie verte"",""foot""=>""designated"",""footway""=>""crossing"",""motor_vehicle""=>""no"",""surface""=>""fine_gravel""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""description""=>""Voie verte"",""foot""=>""designated"",""footway""=>""crossing"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""fine_gravel""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""footway""=>""crossing"",""segregated""=>""yes""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
tertiary;"""cycleway:left""=>""opposite_lane"",""oneway""=>""yes"",""ref""=>""M 132""";AUCUN;DOUBLE SENS CYCLABLE BANDE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""start_date""=>""2016""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""no"",""width""=>""3""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing"",""incline""=>""down"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing"",""incline""=>""up"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""cycleway""=>""sidewalk"",""oneway:bicycle""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""no"",""smoothness""=>""good"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:right""=>""lane"",""cycleway:right:oneway""=>""no"",""lanes""=>""2"",""maxspeed""=>""30"",""maxspeed:type""=>""sign"",""smoothness""=>""good"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""smoothness""=>""excellent"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""cycleway""=>""sidewalk"",""oneway:bicycle""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
primary_link;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""oneway""=>""yes"",""ref""=>""M 65"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
primary;"""cycleway:right""=>""lane"",""maxspeed""=>""70"",""ref""=>""M 65"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""cycleway""=>""shared"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
unclassified;"""cycleway:right""=>""lane"",""cycleway:right:oneway""=>""no"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""oneway""=>""no"",""tunnel""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""description""=>""2011/NT/R/DGU-P 128"",""foot""=>""designated"",""footway""=>""crossing"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""description""=>""2011/NT/R/DGU-P 128"",""foot""=>""designated"",""footway""=>""crossing"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""description""=>""2011/NT/R/DGU-P 128"",""foot""=>""designated"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""cycleway:surface""=>""concrete"",""description""=>""2011/NT/R/DGU-P 128"",""foot""=>""designated"",""footway""=>""crossing"",""footway:surface""=>""asphalt"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""yes"",""tunnel""=>""yes""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""lit""=>""yes"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
path;"""bicycle""=>""designated"",""cycleway""=>""crossing"",""foot""=>""designated"",""footway""=>""crossing"",""lit""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""paved""";VOIE VERTE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""sidewalk"",""oneway:bicycle""=>""yes"",""segregated""=>""no"",""surface""=>""paved""";VOIE VERTE;AUCUN
cycleway;"""oneway""=>""yes"",""surface""=>""paved""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lit""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""tracktype""=>""grade1"",""trail_visibility""=>""good""";AUTRE;AUTRE
track;"""access""=>""agricultural"",""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""tracktype""=>""grade1"",""trail_visibility""=>""good""";AUTRE;AUTRE
service;"""bicycle""=>""yes"",""motor_vehicle""=>""no""";AUTRE;AUTRE
residential;"""cycleway:right""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""sidewalk""=>""right"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
service;"""admin_level""=>""11"",""boundary""=>""administrative"",""lit""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";AUTRE;AUTRE
living_street;"""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""20"",""oneway""=>""yes"",""smoothness""=>""good"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""no"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""footway""=>""crossing""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bicycle""=>""designated"",""description""=>""2016-P 110"",""foot""=>""designated"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""crossing""=>""marked"",""description""=>""2016-P 110"",""foot""=>""designated"",""footway""=>""crossing"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""private"",""motorcar""=>""no"",""mtb:scale""=>""0"",""surface""=>""compacted"",""tracktype""=>""grade1""";AUTRE;AUTRE
track;"""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""tracktype""=>""grade2""";AUTRE;AUTRE
track;"""access""=>""agricultural"",""motorcar""=>""no"",""mtb:scale""=>""0"",""surface""=>""compacted"",""tracktype""=>""grade1"",""width""=>""5""";AUTRE;AUTRE
service;"""horse""=>""no"",""motor_vehicle""=>""no""";AUTRE;AUTRE
cycleway;"""foot""=>""yes"",""footway""=>""crossing"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""yes"",""footway""=>""sidewalk"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""yes"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:left""=>""lane"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""width""=>""4""";AUCUN;DOUBLE SENS CYCLABLE BANDE
cycleway;"""bicycle""=>""yes"",""bridge""=>""yes"",""foot""=>""yes"",""layer""=>""1"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cycleway:right""=>""track"",""junction""=>""roundabout"",""lane_markings""=>""no"",""maxspeed""=>""50"",""smoothness""=>""excellent"",""source:maxspeed""=>""FR:urban"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""foot""=>""yes"",""horse""=>""no"",""smoothness""=>""excellent"",""surface""=>""asphalt"",""width""=>""1""";PISTE CYCLABLE;PISTE CYCLABLE
service;"""motor_vehicle""=>""no"",""oneway""=>""yes""";AUTRE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""advisory"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""no"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""ref:FR:FANTOIR""=>""341729260G""";VOIE VERTE;VOIE VERTE
steps;"""incline""=>""up"",""ramp:bicycle""=>""yes""";GOULOTTE;GOULOTTE
track;"""bicycle""=>""yes"",""bridge""=>""yes"",""horse""=>""yes"",""layer""=>""1"",""motor_vehicle""=>""no"",""surface""=>""asphalt"",""tracktype""=>""grade1""";AUTRE;AUTRE
footway;"""bicycle""=>""yes"",""check_date:surface""=>""2022-11-29"",""footway""=>""sidewalk"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
unclassified;"""cycleway:left""=>""opposite_lane"",""maxspeed""=>""50"",""oneway""=>""yes""";AUCUN;DOUBLE SENS CYCLABLE BANDE
unclassified;"""cycleway:left""=>""lane"",""cycleway:right""=>""lane"",""maxspeed""=>""50""";BANDE CYCLABLE;BANDE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""asphalt"",""traffic_sign""=>""FR:C115""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing"",""motor_vehicle""=>""no"",""segregated""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
unclassified;"""bicycle""=>""yes"",""cycleway""=>""opposite"",""lit""=>""no"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""oneway""=>""yes"",""width""=>""2""";PISTE CYCLABLE;AUCUN
service;"""access""=>""no"",""bicycle""=>""yes"",""cycleway""=>""opposite"",""foot""=>""yes"",""lit""=>""yes"",""maxspeed""=>""30"",""motor_vehicle""=>""no"",""smoothness""=>""excellent"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUTRE;AUTRE
living_street;"""cycleway""=>""opposite"",""lit""=>""no"",""maxspeed""=>""20"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""bicycle""=>""yes"",""foot""=>""yes"",""lit""=>""no"",""motor_vehicle""=>""no"",""surface""=>""compacted""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""share_busway"",""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""motor_vehicle""=>""bus"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""cycleway""=>""share_busway"",""motor_vehicle""=>""bus"",""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""motor_vehicle""=>""bus"",""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""bridge""=>""yes"",""layer""=>""1"",""motor_vehicle""=>""bus"",""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""abandoned:railway""=>""rail"",""alt_name""=>""Ancienne Voie Ferrée"",""railway""=>""abandoned""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
NA;NA;BANDE CYCLABLE;BANDE CYCLABLE
NA;NA;BANDE CYCLABLE;AUCUN
NA;NA;PISTE CYCLABLE;PISTE CYCLABLE
